Job_Title,Years_of_Professional_Experience_Overall,Total_Compensation
"New Program Development Manager","21 - 30 years",83000
"Manager Digital Operations","21 - 30 years",142000
"Supervisory Physical Scientist","21 - 30 years",147000
"Language Lab Specialist","2 - 4 years",40500
"Committee Secretary","21 - 30 years",29000
"Director of Events","5-7 years",55000
Curator,"8 - 10 years",135216
"management analyst","8 - 10 years",153100
"Senior Product Designer (UX)","21 - 30 years",134000
"Clinical Trial Manager","11 - 20 years",126783
"Assistant Chief Counsel","11 - 20 years",172000
"Chief Operating Officer","31 - 40 years",98600
"Employee Relations Advisor","11 - 20 years",67000
"Manager of Partner Network Excellence","11 - 20 years",52050
"Advice worker","11 - 20 years",23000
"Logistics Specialist","8 - 10 years",27075
"workers comp case manager","5-7 years",50000
"Software Developer in Test","5-7 years",125000
"Graduate teaching assistant","21 - 30 years",29000
"Regulatory Affairs Specialist, senior","11 - 20 years",99500
"LMS Administrator","11 - 20 years",52000
Psychiatrist,"8 - 10 years",329000
"Senior Project Controls Analyst","11 - 20 years",89000
"Administrative and Human Resources Assistant","11 - 20 years",31200
"Editorial Assistant","2 - 4 years",132300
"GIS Specialist","2 - 4 years",56160
"Associate General Counsel","21 - 30 years",195000
"Benefit System Lead","21 - 30 years",77000
"Personal Assistant to MD","11 - 20 years",28000
"Complaint Coordinator, Global Markets","21 - 30 years",78000
"Technical Editor","11 - 20 years",733233
"Annual Fund Manager","8 - 10 years",66000
"Academic Planner","8 - 10 years",72000
"Senior Nuclear  Manufacturing Specialist","5-7 years",68500
"Graphic Design","11 - 20 years",27500
"Animal Care and Research Technician","11 - 20 years",45000
"Content Specialist","5-7 years",228050
"NAGPRA Collections Fellow","2 - 4 years",35000
"Technical Support Analyst","5-7 years",65000
"Finance Director","2 - 4 years",87000
"Manager (Technical Writing)","21 - 30 years",174000
"Email Production Manager","21 - 30 years",72000
"National Account Manager","8 - 10 years",158000
"Lead software developer","21 - 30 years",50000
"Logistics Asst","31 - 40 years",52000
"Academic Advisor II","2 - 4 years",40000
"Manager, Consulting Services","21 - 30 years",185000
"Library Page","2 - 4 years",38480
"Judicial Law Clerk","2 - 4 years",50000
"Operations Assistant I","8 - 10 years",38000
"Early Childhood Educator","2 - 4 years",28000
"Training specialist","8 - 10 years",115000
Psychologist,"2 - 4 years",642000
"Product Specialist","11 - 20 years",206412
"Student Advisor","8 - 10 years",84500
"Admin Assistant III","11 - 20 years",50000
"Finance Assistant","8 - 10 years",45000
"Trial attorney","5-7 years",280000
"Growth Marketing Manager","11 - 20 years",95000
"Science Video Producer","5-7 years",70000
"Office Admin","11 - 20 years",65000
"Asst Manager","11 - 20 years",54000
Editor,"31 - 40 years",289357
"Director of Public Safety","11 - 20 years",69000
"Sr Financial Analyst","21 - 30 years",93000
"Benefits specialist","21 - 30 years",32562
Programmer,"8 - 10 years",235900
"Senior Scientist","21 - 30 years",331000
"Senior Professional Research Assistant","5-7 years",72000
"Science Writer/Technology Marketing Associate","2 - 4 years",36000
"Planner 1","2 - 4 years",84884
"High school teacher","31 - 40 years",112200
"Literary Assistant","5-7 years",36400
Merchandiser,"11 - 20 years",202200
"Labour Relations Advisor","2 - 4 years",82000
"Senior Library Assistant","8 - 10 years",28331
"Assistant Marketing Manager","5-7 years",50000
Genius,"5-7 years",61869
"Training & Capacity Manager","8 - 10 years",59500
Bookkeeper,"31 - 40 years",70150
"Clinical Bio sample Manager","5-7 years",170000
"Technical Services Librarian","21 - 30 years",61400
"Senior Editor, Data Visualization","8 - 10 years",131000
"Senior Grants Administrator","11 - 20 years",75000
"Software trainer","11 - 20 years",75900
"Talent Acquisition Manager","11 - 20 years",168000
"Consulting Arborist","21 - 30 years",40000
"ESL instructor-adjunct","11 - 20 years",65000
"Contract Manager","8 - 10 years",138500
"Gifts and Data Coordinator","8 - 10 years",40000
"Art Director of (sub category)","11 - 20 years",315000
"Senior Product Engineer","11 - 20 years",111500
"Development and Communications Manager","2 - 4 years",55000
Biostatistician,"5-7 years",195000
"Vice President, Film Marketing","11 - 20 years",218000
"Curriculum Designer","11 - 20 years",63000
"IT Asset Management & Procurement Coordinator","21 - 30 years",63500
"Assistant Director, Health Promotion","11 - 20 years",72000
"Transportation Coordinator","8 - 10 years",37400
"Data Scientist","1 year or less",510000
"Housing Programs Manager","5-7 years",91000
"Plant Breeder","1 year or less",88010
"Client Administrator","5-7 years",48000
"Director FP&A","11 - 20 years",175000
"Chemistry Laboratory Specialist","5-7 years",46040
Architect,"21 - 30 years",120000
Chaplain,"8 - 10 years",32000
"AP/Payroll coordinator","21 - 30 years",41350
"Projects Team Manager","11 - 20 years",132000
"Head of Solutions","11 - 20 years",140000
"iOS Developer","11 - 20 years",80000
"Strategic EA","21 - 30 years",46000
"senior marketing data specialist","5-7 years",47000
"Technical Project Manager","11 - 20 years",273500
"VP HR Consulting","31 - 40 years",120000
"Global Mobility Program Manager","8 - 10 years",94000
"Materials Engineer","2 - 4 years",827000
"Project Lead","5-7 years",203500
"Director, Donor Relations","11 - 20 years",100440
"Provider Data Specialist III","8 - 10 years",54200
"Prepress Designer","5-7 years",53600
"Senior Email Marketing Manager","11 - 20 years",279500
"pricing clerk","11 - 20 years",39000
"Director, Master Data","31 - 40 years",300000
"Senior Clinical Research Coordinator","11 - 20 years",71760
"Education Coach","21 - 30 years",55600
"Security Researcher","8 - 10 years",70000
Chemist,"8 - 10 years",176486
"HR Operations Manager","11 - 20 years",89000
"UX Researcher","11 - 20 years",153000
"Cytogenetics Technologist","11 - 20 years",83200
"Account Administration Specialist","8 - 10 years",81000
"Senior Demand Generation Specialist","11 - 20 years",94000
"Marketing Associate","5-7 years",169000
"Associate Professor of History","21 - 30 years",139500
"Audio engineer","8 - 10 years",27000
"Compliance Officer","21 - 30 years",161408
"Staff Accountant/Transition Coordinator","11 - 20 years",40000
"Senior Energy Engineer","11 - 20 years",89000
"Trainee solicitor","2 - 4 years",96000
"Sr. Administrative Assistant","11 - 20 years",122370
"Senior associate geotechnical engineer","11 - 20 years",65000
"UX Writer","31 - 40 years",116000
"Financial Institution Specialist","2 - 4 years",65000
"Political manager","5-7 years",84000
"Principal Software Engineer","11 - 20 years",3685300
"Immigration Policy Analyst","5-7 years",59300
"Personal Lines Manager","11 - 20 years",142000
"Scrum Master","21 - 30 years",286400
"Core Faculty","11 - 20 years",73500
"Task Manager","8 - 10 years",61152
"Technical Sales Manager","21 - 30 years",265000
"Construction Engineer","11 - 20 years",85670
"Library Technician","2 - 4 years",41600
"Business Intelligence Team Lead","5-7 years",120000
"Administrative Specialist","2 - 4 years",50500
"human resources/ payroll manager","21 - 30 years",97000
"Lead Data Scientist","2 - 4 years",170000
"Head of Vulnerable Children Policy and Strategy","8 - 10 years",69000
"Project manager senior","41 years or more",124250
"Senior Mobility and Software Analyst","2 - 4 years",55000
"Finance and Administration Manager","8 - 10 years",42500
"Senior Cataloguing Librarian","11 - 20 years",184465
"Technical Services Librarian","11 - 20 years",101000
"Associate Manager Original Series Development","11 - 20 years",135000
"Logistics Manager","2 - 4 years",70000
"Substitute teacher","11 - 20 years",44000
"Vice President of Development & Marketing","11 - 20 years",100000
"Engineering technical lead","11 - 20 years",97000
"Sr Software Test Engineer","21 - 30 years",107000
"Director,","21 - 30 years",80000
Chemist,"5-7 years",228630
"Sr. Executive Assistant","21 - 30 years",128000
"Director, Prospect Research","11 - 20 years",92000
"Help Desk Lead","11 - 20 years",70000
"Principal Product Marketing Manager","8 - 10 years",182820
"Digital Designer","11 - 20 years",347000
"Business Office Manager","8 - 10 years",52000
"Nurse Anaesthetist","21 - 30 years",229000
"Assistant Controller","5-7 years",91000
"Technology Support Specialist","2 - 4 years",57000
"Engagement Editor","5-7 years",138000
"Rotational Analyst","1 year or less",87500
"People Operations Coordinator","11 - 20 years",68250
"Technical Engagement Manager","5-7 years",100000
"Administrator (Director)","11 - 20 years",125000
"Director of Family Support","8 - 10 years",37500
"Research Executive","2 - 4 years",70500
"Sr Staff Software Engineer","31 - 40 years",204000
"Director of Philanthropy","11 - 20 years",78000
"Strategic Account Manager","8 - 10 years",79000
"Youth and adult program educator","5-7 years",31600
"Vice President of Marketing","11 - 20 years",182000
"Director, Meetings & Events","8 - 10 years",79705
"Senior Manager, Software Engineering","31 - 40 years",135000
"Manager Product Support","21 - 30 years",95000
"Senior Cognitive behaviour therapist","11 - 20 years",64000
"Professional Engineer","11 - 20 years",110000
"Scientific Manager","11 - 20 years",144000
"Entry Level Research Chemist","2 - 4 years",76500
"Risk Officer","2 - 4 years",74500
"VP Product Marketing","21 - 30 years",250000
"Head Librarian","21 - 30 years",75000
"Operations Manager and Executive Assistant","5-7 years",65000
Bookseller,"8 - 10 years",18500
"Director of Talent Development","5-7 years",70000
"Technical Services and Cataloguing Manager","11 - 20 years",56280
"Licensing specialist","8 - 10 years",51000
"Quality Engineer","8 - 10 years",260700
"Associate Director of Media","5-7 years",102000
"Sr Executive Assistant","31 - 40 years",155000
"Director of Project Management","21 - 30 years",198000
"Phone jockey","11 - 20 years",33000
"Building Code Consultant","5-7 years",83000
"Music Therapist","2 - 4 years",57000
"Assistant to the Chair II","21 - 30 years",65000
"Senior Assistant City Attorney","11 - 20 years",142000
"Senior Customer service representative","31 - 40 years",45000
"Wholesale Operations Manager","11 - 20 years",60000
"Sr Customer Manager","5-7 years",155000
"Senior Environmental Engineer","11 - 20 years",103000
"Academic Advisor","21 - 30 years",167000
"Analytics Manager","8 - 10 years",595600
"Global Content Strategy Manager","11 - 20 years",80000
"Chief of Pathology","21 - 30 years",420000
"Cat accident claims handler","21 - 30 years",35000
"Investment Manager","11 - 20 years",153000
"Senior Project Engineer","21 - 30 years",134000
"Superior Court Staff Attorney","11 - 20 years",89000
PA,"31 - 40 years",62600
"Admin assistant","2 - 4 years",90000
"Office Coordinator","11 - 20 years",93500
"District Manager","8 - 10 years",96500
"Clinical Psychologist","8 - 10 years",168000
"Director of Marketing & Communications","11 - 20 years",68000
"Digital Inventory Analyst","5-7 years",75000
"Workforce Instructor","11 - 20 years",45304
"Senior economist","5-7 years",130000
"Development Assistant","1 year or less",47200
"Technology Development Manager","11 - 20 years",190000
"Proposal Manager","41 years or more",81880
Payroll,"8 - 10 years",134000
"Liaison Librarian","5-7 years",88500
"High school math teacher","11 - 20 years",136000
"Research Leader","11 - 20 years",69089
"Library Technical Assistant II","8 - 10 years",28000
"Campaign manager","5-7 years",377000
"Data analytics manager","5-7 years",149000
"Special Events Assistant","1 year or less",17680
"Document Control Specialist","11 - 20 years",126240
"Executive Catering Chef","21 - 30 years",78000
"Community/Project Manager","11 - 20 years",95000
"College Library Director","21 - 30 years",85000
"Research Data Specialist","11 - 20 years",72000
"Associate Director of Communications","2 - 4 years",60000
"Director of Quality Assurance","21 - 30 years",80000
"Cybersecurity Principal","11 - 20 years",130000
"Senior Counsel","21 - 30 years",921000
"HR Representative","5-7 years",38040
"Science writer","11 - 20 years",96000
"Family Education","5-7 years",37500
"Pension Benefits Associate","11 - 20 years",56200
"HR Expert","2 - 4 years",31200
"healthcare commissioner","21 - 30 years",52000
"Senior Researcher","5-7 years",352456
"Business Analysis and Performance Measurement Reporting","31 - 40 years",89670
"Commercial and Finance Manager","8 - 10 years",100000
"Associate Producer and Creative Executive","2 - 4 years",90000
"Senior Process Engineer","5-7 years",820668
"Digital Marketing Team Lead","11 - 20 years",71500
"Director Fixed Income","31 - 40 years",260000
"Assoc Director, Corporate Insurance","21 - 30 years",165000
"Creative Manager","5-7 years",129885
"Library Technician I","8 - 10 years",54000
"Intelligence Analyst","5-7 years",90000
"New Build sales executive","8 - 10 years",45000
"Environmental Scientist 1","5-7 years",40000
Actuary,"8 - 10 years",91533
"Operations, Manager","8 - 10 years",48600
"VP of Development","8 - 10 years",176000
"Engineer 2","2 - 4 years",152500
"Senior Manager, Bus Scheduling","31 - 40 years",231600
"Offering Manager","21 - 30 years",181290
"Project Controller","11 - 20 years",117000
"Standards Associate","11 - 20 years",62500
"High School History Teacher","11 - 20 years",95000
"Reference Support Specialist","8 - 10 years",34000
PM,"2 - 4 years",140000
"Quality assurance","21 - 30 years",42500
"sales analyst","2 - 4 years",241200
"Claim Attorney","8 - 10 years",145000
"fundraising and communications manager","11 - 20 years",50300
"Influencer Marketing Manager","8 - 10 years",240000
Dean,"21 - 30 years",260000
"Chef and Recipe Developer","8 - 10 years",90750
"Lead Teacher","11 - 20 years",72700
"Accounts Senior","5-7 years",35000
"Advisory Manager","8 - 10 years",125000
"development services coordinator","11 - 20 years",62488
"Lead MES Developer","5-7 years",114000
"Director, Resource Services","11 - 20 years",85200
