City,Industry,Average_Salary
Champaign,"Accounting, Banking & Finance",36075
Sturtevant,"Manufacturing, Chemical",67000
"New York City","digital marketing within a book publishing company (please reclassify as you see fit)",50000
Tulsa,"Business or Consulting",70000
"Santa Cruz","Education (Primary/Secondary)",55000
Auckland,Nonprofits,104720
Bethesda,Law,142500
Triangle,"Pharmaceutical/Contract Research Organization",124000
Alpharetta,"Industry unknown",120000
Honolulu,"Recruitment or HR",65300
Scottsdale,"Engineering or Manufacturing",101500
Sydney,"Accounting, Banking & Finance",205846.66666666666
metro,"Computing or Tech",150000
Adelaide,"Education (Primary/Secondary)",127121.61000000002
Galveston,"Computing or Tech",50000
Perth,"Marketing, Advertising & PR",110880
"Birmingham UK","Computing or Tech",115128
Metairie,"Agriculture or Forestry",29000
"Small town","Health care",122400
Marlborough,"Property or Construction",69000
Milford,"Social Work",56000
Oshawa,"Hospitality & Events",74800
"Oklahoma City",Insurance,95000
Jianshui,"Education (Primary/Secondary)",120000
"I'm sorry, I'd rather not say. But Alberta in Canada.","Government and Public Administration",100640
Riverdale,"Agriculture or Forestry",120000
Cleveland,Entertainment,42000
Miami,"Business or Consulting",175000
Decatur,"Education (Primary/Secondary)",75000
"Las Vegas",Entertainment,82450
"Baton Rouge","Education (Primary/Secondary)",98000
"Edmonton, Alberta","Law Enforcement & Security",176800
"Downers Grove","Accounting, Banking & Finance",53045
Leesburg,"Health care",73500
"Manchester, UK","Government and Public Administration",14671.44
Queens,Beverage,67000
"Redding CA","Food Manufacturing",85000
Perth,"Agriculture or Forestry",91800
"Washington DC","trade association",190000
Albuquerque,"Science Research, government",131000
Adelaide,"Government and Public Administration",137090.8
"Holmdel, NJ","Utilities & Telecommunications",140000
Milford,"Engineering or Manufacturing",79131
"Long Island",Insurance,55300
Ethel,"Education (Primary/Secondary)",38600
Lexington,"Health and fitness",43680
Gilbert,"Marketing, Advertising & PR",83000
"Concord, CA",Sales,75000
"New York","Leisure, Sport & Tourism",86500
Bend,Nonprofits,46960
"St. Petersburg","Accounting, Banking & Finance",39000
charlottesville,"Health care",74574.5
Raleigh,"Commercial Real Estate",49330
Denver,"Oil & gas",67000
"Minneapolis-St. Paul","Accounting, Banking & Finance",95300
"Oak Brook","Health care",75000
"San Ramon",Nonprofits,60570
Portland,"Real Estate/Development",65000
Memphis,"Leisure, Sport & Tourism",33800
Charlottesville,Science/government,110500
"Portland, OR","Engineering or Manufacturing",50689
"A major Canadian city","Government and Public Administration",87040
"Will County",Law,80000
Ottawa,"Accounting, Banking & Finance",108253.33333333333
Berkeley,"Government and Public Administration",113400
Albany,"Health care",102580
DC,Insurance,81000
Union,"Health care",38100
Indianapolis,Museums,49000
Saskatoon,"Education (Primary/Secondary)",118320
Decline,"Education (Primary/Secondary)",101000
"South Burlington",Veterinary,47000
Bend,"Real estate: title & escrow",38563
Northbrook,"Accounting, Banking & Finance",120000
Toledo,"Engineering or Manufacturing",65000
Albuquerque,library,49500
Lynnwood,Nonprofits,45000
NYC,Sales,69111.52
Arlington,"Think tank",90280
Pleasanton,Sales,101500
"Sterling Heights",Librarian,55182
Tokyo,"Marketing, Advertising & PR",490216560
"New York","Family Office",125000
Toronto,"Transport or Logistics",163200
Melbourne,"Education (Higher Education)",114501.9088888889
Hartford,"Media & Digital",84500
Montgomery,"Hospitality & Events",66500
Remote,"Marketing, Advertising & PR",601100
Janesville,"Engineering or Manufacturing",40000
"New London","Media & Digital",41000
Salina,"Engineering or Manufacturing",61500
Milwaukee,"Education (Primary/Secondary)",53000
"Prefer not to say","Engineering or Manufacturing",89500
Tampa,"Computing or Tech",124408.66666666667
Montreal,Translation,47600
Sydney,"Education (Primary/Secondary)",141295
Tyler,Nonprofits,43000
Abbotsford,"Education (Higher Education)",109480
Auckland,"Government and Public Administration",129639.51000000001
"Near Seattle","Property or Construction",52000
Watertown,Nonprofits,37000
Melbourne,"Social Work",125532.33
"Ottawa, ON","Engineering or Manufacturing",126480
Birmingham,"Marketing, Advertising & PR",43941.75
Rockford,"Property or Construction",49000
"Washington DC","Art & Design",82500
"Greater Chicago Area",Insurance,55000
"Remote Office",Nonprofits,50000
Crossville,"Media & Digital",46750
Sacramento,"Environmental Sciences",68000
Greencastle,"Education (Higher Education)",59900
Germantown,"Recruitment or HR",50000
Tampa,"Utilities & Telecommunications",60000
Portsmouth,"Computing or Tech",62815.333333333336
Okinawa,"Engineering or Manufacturing",69000
"Edmonton, Alberta","Property or Construction",104584
Easton,Nonprofits,62000
Mahwah,Publishing,104000
"Orlando, I work in United States at a Consulate for Mexican Government","Government and Public Administration",27288
Atlanta,"Human Capital Management",108000
Hartford,"Educational publishing / ed tech",124000
Fredericton,Insurance,102000
Paris,"Business or Consulting",43105.68
"San Diego","Education (Primary/Secondary)",113724
"Saint Louis","Computing or Tech",106000
toronto,"cultural (museums/galleries)",54400
Utica,"Education (Primary/Secondary)",57000
Rockville,Nonprofits,117642.85714285714
"San Antonio","Transport or Logistics",90000
"King of Prussia","Computing or Tech",111500
Melbourne,"Media & Digital",116596.48
Melbourne,"Business or Consulting",167346.66666666666
Midland,"Accounting, Banking & Finance",55600
Melbourne,Nonprofits,178208.28666666665
Tokyo,"Computing or Tech",817735500
Hiroshima,"Education (Higher Education)",856980000
Middletown,"Education (Higher Education)",35775
Vancouver,"Recruitment or HR",121672.4
Bloomington,Retail,86000
Provincetown,Nonprofits,54000
"Dublin Ireland","Government and Public Administration",24999.896
Media,"Property or Construction",64500
Loveland,"Accounting, Banking & Finance",47840
Columbus,"Hospitality & Events",65000
Wellesley,"Education (Higher Education)",75000
Yankton,"Health care",106840
"Merrit Island","Engineering or Manufacturing",165000
Boston,"Museums & archives",43680
Louisville,"Utilities & Telecommunications",65750
Faribault,"Engineering or Manufacturing",90000
"greater Chicagoland","Education (Higher Education)",81400
"South Lake Tahoe","Accounting, Banking & Finance",160000
"Kitchener, Ontario","Computing or Tech",98328
Perth,"Oil and gas",218834
Gainesville,"Engineering or Manufacturing",95000
Schaumburg,Insurance,44500
Glasgow,"Business or Consulting",50184
Anchorage,"Computing or Tech",67000
Plattsville,"Engineering or Manufacturing",136000
Albany,"Business or Consulting",66250
Chicago,"Shared office space",48000
Bethesda,Retail,60
Chicago,"Labor Union",70000
Columbus,"Beverage Production",52600
Lisle,Insurance,56000
Brattleboro,Nonprofits,43800
"Long Beach","Government and Public Administration",95000
Baltimore,"Hospitality & Events",70000
"Northern Virginia","Computing or Tech",82000
NYC,Consulting,135000
"Chicago, IL","Computing or Tech",117750
"Idaho Falls","Engineering or Manufacturing",123000
"Washington, DC","Political consulting",48000
Sydney,"Health care",243460.525
Shakopee,"Engineering or Manufacturing",123000
"London, Ontario",Manufacturing,121040
"Northern VA","Engineering or Manufacturing",165000
Wailuku,Nonprofits,67000
Minneapolis,"Public Libraries",72500
"Hong Kong","Marketing, Advertising & PR",102028
"St. Croix Falls",Nonprofits,19000
Akron,"Accounting, Banking & Finance",66000
Burlington,Retail,31946.666666666668
Taipei,"Media & Digital",732000
"Denver CO",Veterinary,33000
"McLean though I travel some",Law,70000
"San Francisco Bay area","social science research - not quite academia, not quite nonprofit, not quite consulting",91000
"Fort Hood","Government and Public Administration",64800
"Des Moines metro",Insurance,59000
"Baton Rouge","Utilities & Telecommunications",70000
Remotely,Nonprofits,72000
Boston,Biotech/pharmaceuticals,222000
Wellington,"Computing or Tech",171317.53333333333
"South portland","Education (Primary/Secondary)",67000
Regional,"Government and Public Administration",154000
"a small village in Okinawa prefecture (sorry, it's too identifying)","Education (Higher Education)",31000
Rochester,"Social Work",70000
Martinsburg,"Health care",117516
Lewiston,"Media & Digital",41600
Longmont,"Engineering or Manufacturing",97500
Pelham,"Health care",175000
"New York City",Library,73500
"Truth or Consequences","Government and Public Administration",28000
Hillsboro,"Health care",75220.66666666667
Berkeley,Retail,41000
"Overland Park","Computing or Tech",100000
"Oakbrook Terrace","Recruitment or HR",60000
Pasadena,"Accounting, Banking & Finance",62400
"Vancouver, British Columbia","Real Estate Development",68000
Chicago,"Renewable Energy",75000
Merrimack,"Accounting, Banking & Finance",64000
"Central Iowa","Education (Primary/Secondary)",49000
Chelmsford,"Social Work",90000
Monroe,"Utilities & Telecommunications",98000
Tacoma,"Engineering or Manufacturing",79330
"Forest Hill","Utilities & Telecommunications",29120
"Eastern Iowa","Education (Primary/Secondary)",53000
Tempe,"Education (Primary/Secondary)",53000
Phoenix/Tempe,"Education (Higher Education)",32000
Clemson,"Computing or Tech",79000
Cincinnati,Manufacturing,78500
Birmingham,Insurance,34148.4
"West Palm Beach","Media & Digital",32000
Yakima,"Education (Higher Education)",70000
"Las Vegas",Nonprofits,67830
Adelaide,Nonprofits,103038.32
"Idaho  Falls","Health care",55000
"Saranac Lake (it's a small town!)",Nonprofits,70000
"Small town","Education (Primary/Secondary)",25000
Seattle,"Agriculture or Forestry",135000
"Fort Pierce",Nonprofits,85000
Torrance,"Education (Higher Education)",50000
Carmel,"Government and Public Administration",65000
Morgantown,Nonprofits,71400
Ottawa,"In-House Marketing",97920
Salem,"Property or Construction",39800
sydney,"Marketing, Advertising & PR",200200
Hillsboro,"Computing or Tech",149333.33333333334
"Kansas City",Sales,125000
"Indian Head Park, IL",Nonprofits,60667
Monterey,Law,250000
Lawrenceville,Nonprofits,32000
Tokyo,Retail,887926500
"Silver Spring","Business or Consulting",85000
Fairfax,Law,108500
Reston,"Marketing, Advertising & PR",86000
Allentown,Insurance,67000
"Isle of Wight",Nonprofits,13385.106
"Prefer not to answer","Life sciences (not in academia)",111000
Bentonville,"Computing or Tech",77229.5
Dallas,"Property or Construction",111625
Greencastle,Sales,34112
"Dobbs ferry",Nonprofits,47500
Chicago,"Professional services",103300
Brisbane,"Accounting, Banking & Finance",113456.93333333333
"Grove City (100% remote)","Media & Digital",91000
Springfield,"Hospitality & Events",80000
Tulsa,"Property or Construction",65000
Pomona,"Education (Higher Education)",60000
"Ann Arbor",Biotech,80975
Rockville,Insurance,112000
Kentwood,"Education (Primary/Secondary)",59000
toronto,"individual & family services",108800
"Saint Helena","Agriculture or Forestry",75000
Morristown,Pharmaceuticals,205000
Batesville,"Medical Technology",133000
Coralville,Biotech,74000
"Dallas/Fort Worth","Computing or Tech",160000
"Cuyahoga Falls",Nonprofits,36600
"Too Small","Education (Higher Education)",84000
Norfolk,"Engineering or Manufacturing",70000
Thornwood,"Education (Primary/Secondary)",249410
"San Mateo, CA","Utilities & Telecommunications",54000
Scottsdale,"Education (Primary/Secondary)",200000
"Great Falls","Health care",96800
Washington,"Recruitment or HR",92666.66666666667
N/a,"Engineering or Manufacturing",120000
Salem,Law,94000
Arlington,"Oil and Gas",350000
Saginaw,"Government and Public Administration",50000
"Metro Detroit","Government and Public Administration",125000
Charlotte,"Education (Primary/Secondary)",68000
Draper,Mortgage,42000
Draper,"Business or Consulting",182000
Chatham,"Property or Construction",60000
Glastonbury,"Agriculture or Forestry",26000
"Tumwater, WA","Education (Higher Education)",35360
Kent,"Government and Public Administration",55000
"South San Francisco",Pharmaceutical,185000
Elizabethtown,Law,30160
Woodbridge,"Health care",85000
"La Grande","Property or Construction",27070
"Olympia, WA","Computing or Tech",118560
Tucson,Sales,56500
Syracuse,"Engineering or Manufacturing",125500
Regional,Nonprofits,234850
Corrigen,"Education (Higher Education)",56000
Methuen,"Social Work",46500
Halifax,"Recruitment or HR",99715.2
Portland,"Outdoor industry/repair and maintenance",37000
Nashua,Library,77990
"New York City Suburbs","Education (Primary/Secondary)",100000
O,Insurance,75000
Canton,"Education (Higher Education)",65000
Toronto,Consulting,265000
Portland,"Leisure, Sport & Tourism",95000
Crowley,"Government and Public Administration",52000
Oxford,"Transport or Logistics",19311.984
"Ft wayne","Health care",41600
"Remote - HQ is in DC",Nonprofits,88000
"Las Vegas","Hospitality & Events",67369.5
Jacksonville,Pharmaceutical,100000
Chantilly,"Government and Public Administration",120000
Watham,"Social Work",58000
Aiken,"National laboratory",115000
Pennsylvania,"Health care",200000
"Mount Vernon","Social Work",68000
"Frankfurt area",Pharmaceutical,68172
Hattiesburg,"Government and Public Administration",90000
"Baton Rouge",Law,73000
Aurora,"Computing or Tech",167000
Phoenix,"Education (Primary/Secondary)",54693.333333333336
"Cambridge, Ontario",Insurance,71073.6
Bozeman,"Government and Public Administration",46000
Shanghai,"Education (Primary/Secondary)",32000
Ashland,"Education (Primary/Secondary)",55200
Undisclosed,"Analytical lab",30368
Alexandria,"Education (Primary/Secondary)",222835
"Boston Metro Area","Engineering or Manufacturing",149074
Longview,"Hospitality & Events",28000
Lynchburg,Retail,33150
"Denver - remote, company based in DC","Media & Digital",50000
Katy,"Education (Primary/Secondary)",42340
"King of Prussia",Insurance,108000
Dublin,Law,78660
"West Bridgewater","Food manufacturing",47000
Boulder,"Media & Digital",49000
Boulder,Library,74000
Waterloo,"Accounting, Banking & Finance",72080
woodbridge,"Business or Consulting",104500
NYC,Insurance,131550
Madison,Pharmaceutical,135000
Batavia,"Government and Public Administration",80832.5
Montreal,"Hospitality & Events",117640
